Price,Size,Garage,Mutiple Car,Bed Rooms,Central Air,Fireplace,Full Bath,Half Bath,Basement (Total),Finished Bsmt,Bsmt Bath,Land,Style (2 Story),Zone (Town Center)
112000,1168,1,0,3,0,0,1,0,808,478,1,7520,0,0
162500,2190,1,1,4,1,0,2,1,651,0,0,5400,1,1
127000,1298,1,0,2,0,1,2,0,651,113,0,6821,0,0
80000,1026,1,0,2,0,0,1,0,513,249,1,7200,1,0
126500,1506,1,0,3,0,0,1,1,780,0,0,12900,0,1
135000,1656,1,0,3,1,0,2,1,660,0,0,10410,0,0
107500,1360,1,0,2,1,0,1,1,803,0,0,7200,0,1
96900,1101,1,1,2,0,0,1,0,616,161,0,6336,0,1
86500,1750,1,0,3,1,0,1,0,636,0,0,9000,1,1
123500,1306,1,1,3,1,0,1,1,240,0,0,15660,0,1
95500,1017,1,0,3,1,0,1,0,346,0,0,9143,0,0
130000,1281,1,1,1,1,0,2,0,1151,1096,1,10284,0,0
150000,1502,1,0,3,1,2,1,1,602,0,0,10593,1,0
103500,1144,1,1,3,1,0,1,1,758,290,0,11340,0,1
100000,1365,1,0,3,1,0,1,1,778,778,0,6000,0,1
90000,1324,1,0,3,1,1,1,0,920,205,0,8400,0,0
90000,1740,1,0,2,0,1,1,0,936,359,0,7308,0,0
202500,1866,1,0,3,1,2,1,1,644,644,1,13600,1,0
160000,1493,1,0,3,1,1,2,0,983,454,0,12600,0,0
93000,1080,0,0,3,1,0,1,0,616,0,0,5914,0,0
218000,1882,1,1,3,1,1,2,0,1154,0,0,10800,0,0
119000,1387,1,0,2,1,0,1,0,956,531,1,5000,0,1
67500,1635,1,0,2,1,0,1,0,485,0,0,5310,0,1
72700,1290,1,0,2,0,0,1,0,560,0,0,7200,1,0
126500,1375,1,0,3,1,1,1,1,780,0,0,9000,0,1
96000,1475,1,1,3,1,0,2,0,187,0,0,13217,0,0
164000,1567,1,1,2,1,2,1,1,840,0,0,13680,0,0
